"Name","Exp","Glucose","decay_constant","half_life","adj_r_squared"
"YAL001C",20,0,-0.0201284451953065,34.4362008011215,0.356734697741285
"YAL001C",20,200,-0.026957916372807,25.7121941834918,0.00667462520554052
"YAL001C",22,0,0.0105606513990826,65.6348888308306,0.098061266067555
"YAL001C",22,200,-0.0234653989538922,29.5391176566795,0.0838256335461475
"YAL001C",23,0,-0.0127306986127873,54.4469083467041,0.362403306467448
"YAL001C",23,200,-0.042326168332688,16.3763271721583,0.395397810780931
"YAL002W",20,0,-0.0251021872304034,27.6130193037687,0.3778172370622
"YAL002W",20,200,-0.0144881296899602,47.8424196492577,-0.185993513660684
"YAL002W",22,0,0.00450779694720588,153.766282882282,-0.128490892659731
"YAL002W",22,200,-0.0156290375390084,44.3499594156022,0.0729920067141655
"YAL002W",23,0,-0.00856403503812745,80.9369856001318,0.0938062743064993
"YAL002W",23,200,-0.026475753741517,26.1804512659827,0.210470633094749
"YAL003W",20,0,-0.0840298137731844,8.24882442832621,0.930282794771282
"YAL003W",20,200,-0.0568155083477458,12.1999644237531,0.975841810245305
"YAL003W",22,0,-0.0276777724445343,25.0434597635702,0.758803075657914
"YAL003W",22,200,-0.0286626945067098,24.1829036833115,0.81896332357381
"YAL003W",23,0,-0.0422697572385935,16.3981821955458,0.752805506173353
"YAL003W",23,200,-0.0401572251317712,17.2608335930947,0.914226900207658
"YAL005C",20,0,0.0428282387583417,16.184349407199,0.625717125617176
"YAL005C",20,200,0.0199805988105172,34.6910113722465,0.108237671801338
"YAL005C",22,0,0.0932842437992599,7.43048506724824,0.653188486754417
"YAL005C",22,200,0.0377606040815286,18.3563583639546,0.206875233210763
"YAL005C",23,0,0.0716018048550232,9.68058252111669,0.689785593284487
"YAL005C",23,200,0.0174004440422549,39.8350282829978,-0.0164381051603206
"YAL007C",20,0,-0.0429026984981853,16.156260674122,0.761570584348719
"YAL007C",20,200,-0.0538633883995983,12.8686144922349,0.857666107183338
"YAL007C",22,0,-0.00290810238795711,238.350335748278,-0.205605945492514
"YAL007C",22,200,-0.0405366691349488,17.0992633423437,0.875737622258976
"YAL007C",23,0,-0.0214640359435267,32.2934224664766,0.664849013402414
"YAL007C",23,200,-0.0508408812652134,13.6336578617533,0.967193427233506
"YAL008W",20,0,0.0223230550532544,31.0507311345314,0.776059554252194
"YAL008W",20,200,-0.0142047835824684,48.7967434727712,0.375584034769902
"YAL008W",22,0,0.0484125868279359,14.3174993524612,0.771195729275553
"YAL008W",22,200,-0.00948922762722472,73.0456901014048,0.0123375786573121
"YAL008W",23,0,0.034507827387405,20.0866653463364,0.805670251513591
"YAL008W",23,200,-0.015308816268033,45.2776471037369,0.380608807572788
"YAL009W",20,0,-0.0278819294545531,24.8600865908423,0.53877048761193
"YAL009W",20,200,-0.0224030415891612,30.9398693834187,0.021357042504054
"YAL009W",22,0,0.00977030186289937,70.9442953028937,0.286803952215567
"YAL009W",22,200,-0.0127713700396109,54.2735179084249,-0.0925243516758101
"YAL009W",23,0,0.000589024316700807,1176.77175781527,-0.248090005365978
"YAL009W",23,200,-0.0237465840973991,29.1893426741686,0.288329498470169
"YAL010C",20,0,-0.00696479417868786,99.5215598302908,-0.0497679077285389
"YAL010C",20,200,-0.0128536067149225,53.9262788984533,-0.192686382471933
"YAL010C",22,0,0.0276165869267776,25.0989444277727,0.622344899115156
"YAL010C",22,200,-0.011941857182765,58.04349942824,-0.141802442346549
"YAL010C",23,0,0.0199298533962554,34.7793416629035,0.728862908520382
"YAL010C",23,200,-0.0153933425504204,45.029023312485,-0.0504555286663244
"YAL011W",20,0,-0.0441744212909504,15.6911434333141,0.623074494780405
"YAL011W",20,200,-0.014194863951714,48.8308435302932,-0.226100309004839
"YAL011W",22,0,-0.00234411905052385,295.696236249198,-0.230391625399858
"YAL011W",22,200,-0.0166909120349374,41.5284185255455,-0.183745306691806
"YAL011W",23,0,-0.0163986505120518,42.2685500889559,0.348094775627658
"YAL011W",23,200,-0.0258743166133129,26.7890043597637,-0.103121523584617
"YAL012W",20,0,-0.0618600273201986,11.205090113719,0.931244794975264
"YAL012W",20,200,-0.0363237757316979,19.0824650410742,0.939461162843158
"YAL012W",22,0,-0.00493089048119837,140.572414496517,-0.206232378585031
"YAL012W",22,200,-0.0149307433005725,46.4241576327529,0.941042987424892
"YAL012W",23,0,-0.0205572070565896,33.7179646365315,0.400085531746433
"YAL012W",23,200,-0.020681604553228,33.5151549182753,0.862317145653521
"YAL013W",20,0,-0.0179224654279265,38.6747673386439,0.246071308871384
"YAL013W",20,200,-0.0216871754325938,31.9611552327007,-0.153767714452422
"YAL013W",22,0,0.0259342997395463,26.7270443976164,0.691459141616592
"YAL013W",22,200,-0.0181034864158203,38.2880493093427,-0.106169704562133
"YAL013W",23,0,0.00720115484197943,96.2550029502511,0.03550002054065
"YAL013W",23,200,-0.0263860784968452,26.2694276697016,-0.0425357561200423
